"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 06 09:33:54 ART 2021","Mon Sep 06 09:34:08 ART 2021","13508","","Registration and Login E2E Fixture","","Registration and Login E2E Fixture","User Registration and Login E2E Test","User Registration and Login E2E Test",""
"passed","Mon Sep 06 09:33:23 ART 2021","Mon Sep 06 09:34:02 ART 2021","39071","","E2E Registration Fixture","","E2E Registration Fixture","Place Order E2E Tests","Place Order E2E Tests",""
"passed","Mon Sep 06 09:33:27 ART 2021","Mon Sep 06 09:33:29 ART 2021","1532","","Registration and Login E2E Fixture","","Registration and Login E2E Fixture","Assert Home Page Test","Assert Home Page Test",""
"passed","Mon Sep 06 09:33:26 ART 2021","Mon Sep 06 09:33:28 ART 2021","2542","","E2E Registration Fixture","","E2E Registration Fixture","Change Currency Test","Change Currency Test",""
"passed","Mon Sep 06 09:31:58 ART 2021","Mon Sep 06 09:32:01 ART 2021","3037","","E2E Registration Fixture","","E2E Registration Fixture","Assert Home Page Test","Assert Home Page Test",""
